23	 0	34	34	
23	 0	26	26	
23	 0	33	33	
23	 0	27	27	
23	 0	32	25	
23	 0	25	32	
23	 0	24	24	
23	 0	28	23	
23	 0	 0	 0	

11	 0	 3	 3	
11	 0	 2	11	
11	 0	 7	 9	
11	 0	 6	 2	
11	 0	10	 7	
11	 0	 4	 4	
11	 0	 5	 5	
11	 0	 8	 6	
11	 0	20	20	
11	 0	29	29	

21	 0	30	21	
21	 0	28	30	
21	 0	27	28	
21	 0	31	25	
21	 0	26	27	
21	 0	32	31	
21	 0	29	26	
21	 0	 0	29	
21	 0	14	14	
21	 0	 7	 7	

29	 0	26	26	
29	 0	34	34	
29	 0	 1	 1	
29	 0	32	31	
29	 0	33	32	
29	 0	30	29	
29	 0	28	33	
29	 0	25	30	
29	 0	 0	 0	
29	 0	 7	 7	

 7	 0	 1	 1	
 7	 0	 0	 7	
 7	 0	 6	 0	
 7	 0	 8	 6	
 7	 0	10	 8	
 7	 0	 2	10	
 7	 0	34	 9	
 7	 0	 4	 2	

31	 0	34	34	
31	 0	33	33	
31	 0	 0	 0	
31	 0	32	32	
31	 0	 8	31	
31	 0	30	 8	
31	 0	12	30	
31	 0	 1	 9	
31	 0	 7	 7	

 7	 0	 0	 7	
 7	 0	 1	 0	
 7	 0	26	 1	
 7	 0	 2	 2	

21	 0	19	19	
21	 0	 0	21	
21	 0	18	 0	
21	 0	20	18	
21	 0	22	20	
21	 0	 8	22	
21	 0	16	23	
21	 0	24	 8	
21	 0	 7	 7	

21	 0	26	26	
21	 0	24	21	
21	 0	22	24	
21	 0	23	22	
21	 0	30	23	
21	 0	34	20	
21	 0	20	25	
21	 0	28	27	
21	 0	 0	 0	
21	 0	 1	 1	

23	 0	33	33	
23	 0	32	32	
23	 0	34	34	
23	 0	24	24	
23	 0	31	25	
23	 0	30	31	
23	 0	26	30	
23	 0	28	23	
23	 0	 7	 7	

23	 0	26	26	
23	 0	 0	 0	
23	 0	24	24	
23	 0	22	22	
23	 0	25	23	
23	 0	27	25	
23	 0	28	21	
23	 0	20	27	
23	 0	 8	 8	
23	 0	13	13	

21	 0	26	26	
21	 0	22	22	
21	 0	23	23	
21	 0	24	24	
21	 0	30	21	
21	 0	34	25	
21	 0	28	27	
21	 0	32	28	
21	 0	 0	 0	
21	 0	 1	 1	

23	 0	27	27	
23	 0	 0	 0	
23	 0	26	26	
23	 0	25	25	
23	 0	 1	 1	
23	 0	28	28	
23	 0	24	24	
23	 0	22	23	

 8	 0	 1	 8	
 8	 0	22	 7	
 8	 0	20	 9	
 8	 0	21	 1	
 8	 0	23	17	
 8	 0	26	19	
 8	 0	24	20	
 8	 0	18	21	
 8	 0	 7	 7	
 8	 0	 0	 0	

15	 0	32	32	
15	 0	31	31	
15	 0	30	30	
15	 0	33	33	
15	 0	29	29	
15	 0	26	26	
15	 0	28	28	
15	 0	14	15	
15	 0	 5	 5	
15	 0	 8	 8	

33	 0	26	26	
33	 0	27	27	
33	 0	28	28	
33	 0	32	32	
33	 0	29	33	
33	 0	30	29	
33	 0	34	30	
33	 0	25	31	
33	 0	 0	 0	
33	 0	18	18	

25	 0	 3	 3	
25	 0	 2	 2	
25	 0	 4	 4	
25	 0	 5	 5	
25	 0	24	25	
25	 0	 6	24	
25	 0	26	 6	
25	 0	14	23	
25	 0	30	30	
25	 0	 0	 0	

17	 0	 5	 5	
17	 0	 6	 6	
17	 0	 7	 7	
17	 0	 4	 4	
17	 0	 0	 0	
17	 0	 2	 2	
17	 0	20	17	
17	 0	 3	 3	

16	 0	 1	 1	
16	 0	26	16	
16	 0	20	17	
16	 0	30	26	
16	 0	34	12	
16	 0	24	20	
16	 0	28	23	
16	 0	32	24	
16	 0	 0	 0	

19	 0	12	12	
19	 0	13	13	
19	 0	 0	 0	
19	 0	11	 9	
19	 0	14	11	
19	 0	18	14	
19	 0	 8	19	
19	 0	20	18	
19	 0	 1	 1	

13	 0	30	30	
13	 0	29	29	
13	 0	 1	 1	
13	 0	34	34	
13	 0	28	13	
13	 0	31	33	
13	 0	26	28	
13	 0	14	31	
13	 0	 7	 7	

11	 0	 1	 1	
11	 0	 8	 8	
11	 0	 7	 7	
11	 0	 6	 6	
11	 0	 9	11	
11	 0	 4	 9	
11	 0	 5	 4	
11	 0	 3	 5	

29	 0	 0	 0	
29	 0	34	34	
29	 0	33	33	
29	 0	32	29	
29	 0	31	31	
29	 0	 1	32	
29	 0	26	 1	
29	 0	30	26	
29	 0	21	21	
29	 0	 7	 7	

33	 0	 1	 1	
33	 0	16	16	
33	 0	34	34	
33	 0	26	19	
33	 0	15	33	
33	 0	17	26	
33	 0	22	15	
33	 0	23	17	

31	 0	 0	 0	
31	 0	 1	 1	
31	 0	32	32	
31	 0	30	33	
31	 0	34	31	
31	 0	28	30	
31	 0	24	29	
31	 0	26	34	
31	 0	17	17	
31	 0	10	10	

 3	 0	 6	 6	
 3	 0	 7	 7	
 3	 0	 8	 8	
 3	 0	 0	 0	
 3	 0	 5	 5	
 3	 0	 4	 4	
 3	 0	12	 3	
 3	 0	 2	12	
 3	 0	31	31	

19	 0	10	10	
19	 0	 1	 1	
19	 0	16	16	
19	 0	 4	13	
19	 0	 2	19	
19	 0	18	 3	
19	 0	12	 4	
19	 0	 9	 2	
19	 0	24	24	
19	 0	22	22	

13	 0	25	13	
13	 0	 1	25	
13	 0	26	 1	
13	 0	16	16	

 3	 0	26	26	
 3	 0	28	28	
 3	 0	 1	 1	
 3	 0	29	29	
 3	 0	34	34	
 3	 0	 0	 5	
 3	 0	10	 0	
 3	 0	 4	 3	
 3	 0	22	22	

17	 0	 1	17	
17	 0	20	 1	
17	 0	30	20	
17	 0	24	24	
17	 0	28	25	
17	 0	21	27	
17	 0	22	30	
17	 0	32	28	
17	 0	 0	 0	
17	 0	 8	 8	

 9	 0	 1	 1	
 9	 0	24	24	
 9	 0	 2	 3	
 9	 0	 4	 2	
 9	 0	25	 4	
 9	 0	 0	25	
 9	 0	 8	 0	
 9	 0	 6	 9	

17	 0	 0	 0	
17	 0	20	20	
17	 0	14	17	
17	 0	16	13	
17	 0	18	14	
17	 0	21	15	
17	 0	 1	16	
17	 0	12	18	
17	 0	26	26	

13	 0	 0	 0	
13	 0	 1	 1	
13	 0	12	12	
13	 0	 7	 7	
13	 0	 5	 5	
13	 0	14	13	
13	 0	 4	14	
13	 0	24	 3	

19	 0	33	19	
19	 0	32	33	
19	 0	31	32	
19	 0	30	31	
19	 0	 2	30	
19	 0	29	 2	
19	 0	 6	29	
19	 0	28	 7	
19	 0	 7	 7	

21	 0	 1	21	
21	 0	 0	 1	
21	 0	20	 0	
21	 0	 2	 2	

 7	 0	 1	 1	
 7	 0	 2	 7	
 7	 0	 6	 2	
 7	 0	26	 6	
 7	 0	10	26	
 7	 0	 3	25	
 7	 0	 4	27	
 7	 0	 8	10	
 7	 0	28	28	

31	 0	26	26	
31	 0	29	29	
31	 0	28	28	
31	 0	30	30	
31	 0	 0	 0	
31	 0	27	27	
31	 0	32	31	
31	 0	 1	32	

29	 0	34	33	
29	 0	33	34	
29	 0	32	32	
29	 0	28	28	
29	 0	31	31	
29	 0	30	29	
29	 0	23	27	
29	 0	25	30	
29	 0	22	22	
29	 0	16	16	

